Id,y
10000,-65.9834953694709
10001,451.4368119419491
10002,-461.7376796990567
10003,40.51083085942224
10004,-126.74084017698489
10005,-342.54142980328896
10006,-396.60216761151446
10007,335.6104751987226
10008,-99.52179198995867
10009,304.8477612824827
10010,68.90382496625084
10011,412.4059279003113
10012,54.920974861337044
10013,-16.978308668399865
10014,-597.894192268277
10015,443.541480435934
10016,144.81329177946282
10017,-57.41610620807714
10018,134.37840597929426
10019,-108.99084582394454
10020,153.82664645164562
10021,611.7883875070726
10022,588.4253322524402
10023,-131.02499317384417
10024,-61.1307483214176
10025,-374.3231497949296
10026,74.13956303399097
10027,137.4611939925228
10028,420.09675120509667
10029,196.77274895554066
10030,268.476151329819
10031,638.5179934356356
10032,127.40284548668461
10033,1.3409954660021484
10034,22.746728024761047
10035,342.27946207805735
10036,307.7550548920219
10037,348.1899166783068
10038,-168.68687456512112
10039,-20.224421247718375
10040,-551.8005232794438
10041,-429.9991486527539
10042,261.92748813039765
10043,389.8717738769809
10044,-96.16034383332537
10045,-210.7314801386059
10046,278.891716348132
10047,-427.48565525147296
10048,-172.90830216892505
10049,467.32953693747936
10050,-631.5964002310457
10051,-355.605783885209
10052,143.21996807186193
10053,69.21275332914702
10054,275.6211169900052
10055,-263.19381773402927
10056,167.52422252474264
10057,104.59051700695741
10058,230.1057665560021
10059,20.998309201677962
10060,-4.820080900549996
10061,-201.9266799679585
10062,560.1223393550696
10063,55.30687246176181
10064,671.401434491959
10065,-493.8076761648708
10066,-279.37528508281156
10067,-53.72701301438511
10068,379.73785981286534
10069,315.08591008867336
10070,169.15962277612851
10071,-271.624220048021
10072,783.837277683011
10073,44.58219144029047
10074,57.38148839096521
10075,-161.06511635524365
10076,-220.68099286588304
10077,223.29387133981237
10078,352.6916214482632
10079,13.183103343110844
10080,-462.0133366845167
10081,305.3768648359914
10082,-230.6258541009798
10083,359.1108732445539
10084,-430.2872144928456
10085,-115.549627725272
10086,-88.9651603069066
10087,-488.32712940579927
10088,-139.34865701751195
10089,57.309813686480084
10090,-190.34144975458057
10091,-6.479705362783619
10092,189.28702343944443
10093,346.603608606537
10094,871.6762109154657
10095,-147.04664632062628
10096,443.53480831000905
10097,-30.528400834502747
10098,185.45427120757967
10099,-119.94773715507782
10100,43.607596285738296
10101,58.34149808527812
10102,-197.15896741830727
10103,-70.4846902233787
10104,-342.8862720782947
10105,-29.22853123606938
10106,49.54362714690092
10107,-16.22119112457989
10108,33.79506764697061
10109,-68.87985005707164
10110,25.88823560506978
10111,-617.3737800725254
10112,-185.96279631524143
10113,323.8291924334352
10114,-35.649351855592265
10115,-733.6037461093018
10116,-240.75805364138117
10117,-382.00581357092807
10118,75.32014315814514
10119,36.653942264521454
10120,-28.772315868382506
10121,-481.2060719574114
10122,408.89321796130156
10123,-765.0833070318562
10124,178.056420637898
10125,-7.612069148456918
10126,134.77325014152174
10127,-477.4877403748349
10128,-248.72618193272427
10129,-361.9272814783089
10130,-18.725738223538173
10131,7.810618744903763
10132,-109.1161878168039
10133,-63.06396261689254
10134,591.8838686306403
10135,259.61974510514966
10136,-279.8879571518485
10137,93.23672048578294
10138,-427.33334526643375
10139,84.38921349034608
10140,-311.5779328207621
10141,11.41870877510624
10142,-297.8754791960739
